Period,A InterestDue,A InterestPaid,A InterestShortfall,A PrincipalPaid,A Balance,B InterestDue,B InterestPaid,B InterestShortfall,B PrincipalPaid,B Balance
1,78092.67260013644,78092.67260013644,0,309835.7972660266,13867351.361608969,79746.67776867186,79746.67776867186,0,0,14177187.158874996
2,76385.99375019608,76385.99375019608,0,314102.5648280346,13553248.796780935,79746.67776867186,79746.67776867186,0,0,14177187.158874996
3,74655.81212226833,74655.81212226833,0,318428.8563695992,13234819.940411335,79746.67776867186,79746.67776867186,0,0,14177187.158874996
4,72901.79983843245,72901.79983843245,0,322815.5127222248,12912004.42768911,79746.67776867186,79746.67776867186,0,0,14177187.158874996
5,71123.62438918753,71123.62438918753,0,327263.38673765253,12584741.040951459,79746.67776867186,79746.67776867186,0,0,14177187.158874996
6,69320.94856724095,69320.94856724095,0,331773.3434616533,12252967.697489806,79746.67776867186,79746.67776867186,0,0,14177187.158874996
7,67493.43040033968,67493.43040033968,0,336346.2603103602,11916621.437179444,79746.67776867186,79746.67776867186,0,0,14177187.158874996
8,65640.72308313011,65640.72308313011,0,340983.02724918624,11575638.409930259,79746.67776867186,79746.67776867186,0,0,14177187.158874996
9,63762.47490803251,63762.47490803251,0,345684.54697435285,11229953.862955905,79746.67776867186,79746.67776867186,0,0,14177187.158874996
10,61858.32919511545,61858.32919511545,0,350451.73509707185,10879502.127858832,79746.67776867186,79746.67776867186,0,0,14177187.158874996
11,59927.924220955734,59927.924220955734,0,355285.5203304171,10524216.607528416,79746.67776867186,79746.67776867186,0,0,14177187.158874996
12,57970.89314646903,57970.89314646903,0,360186.8446789446,10164029.762849472,79746.67776867186,79746.67776867186,0,0,14177187.158874996
13,55986.86394369585,55986.86394369585,0,365156.6636310641,9798873.099218408,79746.67776867186,79746.67776867186,0,0,14177187.158874996
14,53975.45932152807,53975.45932152807,0,370195.946354239,9428677.15286417,79746.67776867186,79746.67776867186,0,0,14177187.158874996
15,51936.296650360135,51936.296650360135,0,375305.67589304433,9053371.476971123,79746.67776867186,79746.67776867186,0,0,14177187.158874996
16,49868.98788564928,49868.98788564928,0,380486.84937010624,8672884.627601018,79746.67776867186,79746.67776867186,0,0,14177187.158874996
17,47773.13949036895,47773.13949036895,0,385740.4781900084,8287144.14941101,79746.67776867186,79746.67776867186,0,0,14177187.158874996
18,45648.35235633898,45648.35235633898,0,391067.5882461546,7896076.561164855,79746.67776867186,79746.67776867186,0,0,14177187.158874996
19,43494.22172441641,43494.22172441641,0,396469.2201306789,7499607.341034176,79746.67776867186,79746.67776867186,0,0,14177187.158874996
20,41310.33710352992,41310.33710352992,0,401946.4293474296,7097660.911686746,79746.67776867186,79746.67776867186,0,0,14177187.158874996
21,39096.28218854116,39096.28218854116,0,407500.2865280551,6690160.625158692,79746.67776867186,79746.67776867186,0,0,14177187.158874996
22,36851.634776915795,36851.634776915795,0,413131.8776512716,6277028.74750742,79746.67776867186,79746.67776867186,0,0,14177187.158874996
23,34575.96668418671,34575.96668418671,0,418842.30426533706,5858186.443242083,79746.67776867186,79746.67776867186,0,0,14177187.158874996
24,32268.84365819181,32268.84365819181,0,424632.6837137818,5433553.759528302,79746.67776867186,79746.67776867186,0,0,14177187.158874996
25,29929.8252920684,29929.8252920684,0,430504.1493644472,5003049.610163854,79746.67776867186,79746.67776867186,0,0,14177187.158874996
26,27558.4649359859,27558.4649359859,0,436457.8508418881,4566591.759321967,79746.67776867186,79746.67776867186,0,0,14177187.158874996
